,Lemmatized Text,Labels
1559,single line big meaning miss anything number best life,ham
1560,got gas money chance gang want go grand nature adventure,ham
1561,dnt worry use ice piece cloth pack also take number tablet,ham
1562,dude saw parked car sunroof popped sux,ham
1563,get ready put excellent sub face,ham
1564,tmrw finishing number door,ham
1565,lt gt g saw day ago guy want sell wifi lt gt numberg lt gt blanked,ham
1566,late,ham
1567,whatever pretty pissed,ham
1568,today accept day accept brother sister lover dearnumber bestnumber closnumber lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy,ham
1569,much image class,ham
1570,got rumour going buy apartment chennai,ham
1571,near kalainar tv office thenampet,ham
1572,cash balance currently number pound maximize cash send go number numberp msg cc number hg suitenumber numberlands row wnumberjnumberhl,spam
1573,sm auction brand new nokia number number auction today auction free number join take part txt nokia number hg suitenumber numberlands row wnumberjnumberhl,spam
1574,si catching e show e afternoon watching w c wan number watch today tmr lor,ham
1575,sound gd haha wah yan jiu fast liao,ham
1576,nosy guess idk reacting freaked,ham
1577,remember hurt day satanic imposter need pay price may destiny keep going said pray get mind get,ham
1578,make girl happy difficult make girl happy need number friend number companion number lover number chef lt gt good listener lt gt organizer lt gt good boyfriend lt gt clean lt gt sympathetic lt gt athletic lt gt warm lt gt courageous lt gt determined lt gt true lt gt dependable lt gt intelligent lt gt psychologist lt gt pest exterminator lt gt psychiatrist lt gt healer lt gt stylist lt gt driver aaniye pudunga venaam,ham
1579,princess bet brothas chasing,ham
1580,shall book chez jules half eight ok,ham
1581,hhahhaahahah rofl wtf nig leonardo room something,ham
1582,yep derek house see sunday lt number,ham
1583,cool let know kick around lt gt day,ham
1584,sorry call later,ham
1585,wondering would okay call uncle john let know thing nigeria r lt gt dollar numberyears sent know strain plan pay back every dime give every dime expect anything practical something like,ham
1586,charge transfer charge withdraw anyhow like,ham
1587,search love let love find thats called falling love bcoz force fall know smeone hold bslvyl,ham
1588,number let go bill miller,ham
1589,love set soul fire spark flame big rawring flame xoxo,ham
1590,somewhr someone surely made number god decided perfect time make meet dat person till den enjoy crush,ham
1591,honeymoon outfit,ham
1592,help propose going back tomorrow,ham
1593,private number account statement show number un redeemed point call number identifier code number expires number number number,spam
1594,never blame day life good day give happiness bad day give experience essential life god blessing good morning,ham
1595,pls confirm time collect cheque,ham
1596,registered subscriber yr draw number currencynumber gift voucher b entered receipt correct an next olympics txt an number,spam
1597,urgent mobile number awarded currencynumber prize guaranteed call number land line claim number valid numberhrs numberppm,spam
1598,daddy take good care,ham
1599,yeah probably still gotta check leo,ham
1600,k special,ham
1601,carlos taking sweet time usual let know patty done want smoke tell haul as,ham
1602,ok pa nothing problem,ham
1603,heard job going wildlife talk tonight wantnumbercome thatnumberworzels wizzle whatever,ham
1604,god picked flower dippeditinadew lovingly touched itwhichturnedinto gifted tomeandsaid friend numberu,ham
1605,came hostel,ham
1606,ok prob come lunch,ham
1607,jus telling dat b leaving number shanghai numberst instead haf time number meet cya,ham
1608,freezing home yet remember kiss mom morning love think missing yet,ham
1609,ready big day tomorrow,ham
1610,probably around mu lot,ham
1611,number,ham
1612,rt king pro video club need help info ringtoneking co uk call number must number club credit redeemable www ringtoneking co uk enjoy,spam
1613,thnx dude guy numbernite,ham
1614,sef dey laugh meanwhile darling anjie,ham
1615,mm food da,ham
1616,k make sense btw carlos difficult guy gonna smoke go pick second batch get gas,ham
1617,download fring app,ham
1618,number oz guy kinda flaky one friend interested picking currency lt gt worth tonight possible,ham
1619,friend stay fb chat,ham
1620,fuck babe miss sooooo much wish sleep bed lonely go sleep dream love,ham
1621,living simple loving also simple laughing simple winning tooo simple simple difficult gud nte,ham
1622,secret admirer looking number make contact find r reveal think special call number,spam
1623,ah well confuses thing,ham
1624,number free text msg text ok number credit account,spam
1625,hi dear call urgnt know whats problem want work problem least tell wating reply,ham
1626,dear ok,ham
1627,selected stay number number top british hotel nothing holiday worth currencynumber claim call london number bx number swnumberss,spam
1628,yes princess want make happy,ham
1629,sound like many talent would like go dinner date next week,ham
1630,going film numberday da numberpm sorry da,ham
1631,watching movie already xy want number shop shopping w,ham
1632,hello little party animal thought buzz friend grin reminding loved send naughty adoring kiss,ham
1633,yesterday going home,ham
1634,eerie nokia tone numberu rply tone title number eg tone dracula number title ghost addamsfa munsters exorcist twilight www getzed co uk poboxnumberwnumberwq numberp,spam
1635,come life brought sun shiny warming heart putting constant smile face making feel loved cared,ham
1636,shit surprised went spent evening french guy met town fooled around bit let fuck,ham
1637,numberacurrencynetworks allow company bill sm responsible supplier,spam
1638,great comedy cant stop laughing da,ham
1639,freemsg feelin kinda lnly hope like number keep company jst got cam moby wanna c pic txt reply date number msgnumberp numberrcv hlp number stop number,spam
1640,alright set text man,ham
1641,hi keen go kind feel go tomo mind,ham
1642,sleeping nt feeling well,ham
1643,switch fone dammit,ham
1644,india take lead,ham
1645,post lnumberr class,ham
1646,thts wat wright brother fly,ham
1647,evening v good somewhat event laden fill worry _ head ok throat wrecked see six,ham
1648,laugh really loud talk spontaneously care others feel probably dear amp best friend goodevening dear,ham
1649,laptop take,ham
1650,file bag work called tell find anything room,ham
1651,wan early lei outside wun b home early neva mind,ham
1652,chance win currencynumber cash every wk txt action number c www movietrivia tv custcare number numberxnumberp wk,spam
1653,bugis juz wat walking home oredi late reply oso saw top dat like din buy r _,ham
1654,wishing family merry x ma happy new year advance,ham
1655,number go ok na,ham
1656,yes posted couple pic fb still snow outside waking,ham
1657,one good partnership going take lead,ham
1658,rgent numbernd attempt contact currencynumber call number bnumber number csbcmnumberwcnumbernnumberxx callcost numberppm mobilesvary maxcurrencynumber number,spam
1659,yeah class,ham
1660,send bec temple na,ham
1661,coming home class right need work shower,ham
1662,hi lookin number saucy daytime fun wiv busty married woman free next week chat number sort time number janinexx callscurrencynumber minmobsmorelkpoboxnumberhpnumberfl,spam
1663,mostly like,ham
1664,v fan,ham
1665,dunno co v late n reach inside already ate spageddies lor e gal r laughing lor,ham
1666,guess spent last night phasing fourth dimension,ham
1667,dad gonna call get work ask crazy question,ham
1668,yes said,ham
1669,hurting n meaningful line ever compromised everything love,ham
1670,lmao nice number,ham
1671,glad see reply,ham
1672,urgent trying contact today draw show currencynumber prize guaranteed call number land line claim anumber valid numberhrs,spam
1673,monthly password wap mobsi com number use wap phone pc,spam
1674,nah dub je still buff,ham
1675,painful word thought happy toughest thing earth,ham
1676,yeah fine currencynumber get ok,ham
1677,lol come idea,ham
1678,many people seems special first sight remain special till last sight maintain till life end sh jas,ham
1679,today song dedicated day song dedicate send valuable frnds first rply,ham
1680,okay wait ah,ham
1681,lei,ham
1682,hi babe r likely bed sorry tonight really wanna see tomorrow call number love xxx,ham
1683,already squatting new way walking,ham
1684,want bold number bb torch,ham
1685,cramp stopped going back sleep,ham
1686,today vodafone number ending number last four digit selected received currencynumber award number match please call number claim currencynumber award,spam
1687,free top ringtone sub weekly ringtone get numberst week free send subpoly number number per week stop sm number,spam
1688,nan sonathaya soladha bos,ham
1689,bring tat cd forget,ham
1690,sunshine quiz wkly q win top sony dvd player know country algarve txt ansr number currencynumber sp tyrone,spam
1691,know raping dude poker,ham
1692,weightloss girl friend make load money ebay something give thanks god,ham
1693,grnumber see message r leaving congrats dear school wat r plan,ham
1694,eatin later eatin wif frens lei going home first,ham
1695,finish already yar keep saying mushy embarrassed ok,ham
1696,sorry man stash ran dry last night pick sunday,ham
1697,hai priya right doctor said pa,ham
1698,free msg sorry service ordered number could delivered sufficient credit please top receive service,spam
1699,ok,ham
1700,please ask mummy call father,ham
1701,come room cannot come house co house still messy haha,ham
1702,lost number kilo today,ham
1703,taste fish curry p,ham
1704,might accidant tookplace somewhere ghodbandar rd traffic move slovely plz slip amp worry,ham
1705,yun ah _ wkg btw _ go nu sc wana specialise wad,ham
1706,yes one woman man please tell like dislike bed,ham
1707,test earlier appreciate call tomorrow,ham
1708,loverboy keep coming queen hmmm ache speak miss desparately,ham
1709,meet fren dun wan meet ah muz b guy rite,ham
1710,promise though even gotten dinner yet,ham
1711,got back dislike bed,ham
1712,turn stereo love mi phone unknown album,ham
1713,hard live number chat numberp min choose girl connect live call number cheap chat uk biggest live service vu bcmnumberwcnumbernnumberxx,spam
1714,yeah see,ham
1715,asking knw nt may frnds classmate,ham
1716,sorry earlier putting fire around talk number actually life lol,ham
1717,wow boy r back take number uk tour win vip ticket pre book vip club txt club number trackmarque ltd info vipclubnumberu,spam
1718,missionary hook doggy hook standing,ham
1719,better go sleep dun disturb liao wake msg lor,ham
1720,fighting world easy either win lose bt fightng somenumber close dificult lose lose win still lose,ham
1721,watching house entertaining getting whole hugh laurie thing even stick indeed especially stick,ham
1722,thought praps meant another one goodo look tomorrow,ham
1723,hi jon pete ive bin number spain recently hav sum dinero left bill said rents mayb interested hav number numberpes around currencynumber tb james,ham
1724,bold number lt gt,ham
1725,know shall speak lt gt minute,ham
1726,alrite hunny wot number numbernite didnt end goin town jus da pub instead jus chillin da mo bedroom love jen xxx,ham
1727,went project centre,ham
1728,per request maangalyam alaipayuthe set callertune caller press number copy friend callertune,ham
1729,lol yeah point guess,ham
1730,project w frens lor,ham
1731,lol well quality aint bad aint complaining,ham
1732,k happen tonight,ham
1733,hi mandy sullivan calling hotmix fm chosen receive currencynumber easter prize draw please telephone number claim number number number prize transferred someone else,spam
1734,think going finn come,ham
1735,tired special,ham
1736,come tomorrow di,ham
1737,cant pick phone right pls send message,ham
1738,k go sleep well take rest,ham
1739,guy never invite anywhere,ham
1740,going number bahamas callfreefone number speak live operator claim either bahamas cruise ofcurrencynumber cash number opt txt x number,spam
1741,want please inside outside bedroom,ham
1742,ey calm downon theacusations itxt co iwana know wotu r thew end haventcn age ring upnumber nething sat love j xxx,ham
1743,love wine dine lady,ham
1744,someone conacted dating service entered phone fancy find call landline number poboxnumbernnumbertfnumber,spam
1745,im cool ta luv v tired number cause load planning wk got social service inspection nursery take care spk sn x,ham
1746,know account detail ask mom send mom reach,ham
1747,think wrong number,ham
1748,feel always happy slowly becomes habit amp finally becomes part life follow happy morning amp happy day,ham
1749,b late love mum,ham
1750,got mail panren paru,ham
1751,thinking chuckin red green n black trainners number save carryin bac train,ham
1752,give one miss number please,ham
1753,jus came back fr lunch wif si leh,ham
1754,schedule next week town weekend,ham
1755,really good dhanush rock,ham
1756,lmao ok wont needing hair anymore,ham
1757,miss ya need ya want ya love ya,ham
1758,sorry free,ham
1759,ever get song stuck head reason go away til listen like number time,ham
1760,nt yet chikku simple habba hw abt,ham
1761,got mail dileep thank muchand look forward lot support le contact remember one venugopal mentioned tomorrow late shall try come till goodnight dear,ham
1762,sometimes heart remembrs someone much forgets someone soon bcoz heart like everyone liked one remembered everytime bslvyl,ham
1763,joy father john john name joy father mandan,ham
1764,hi number ibh customer loyalty offer new nokianumber mobile currencynumber txtauction txt word start number get numbert,spam
1765,hi yijue regarding number textbook intro algorithm second edition selling currencynumber,ham
1766,sm auction nokia numberi get win free auction take part send nokia number hg suitenumber numberlands row wnumberjhl number,spam
1767,k want u come,ham
1768,little difficult simple way enter place,ham
1769,ha u e thing got tv number watch thk number go tonight already haf smth mind,ham
1770,show far put new picture facebook,ham
1771,watching tv got new job,ham
1772,good afternoon sexy bun go job search wake first thought always love wish fine happy know adore,ham
1773,coming whatever want,ham
1774,ok chikku number favourite song,ham
1775,see posted facebook,ham
1776,call freephone number number number,spam
1777,buy space invader number chance number win orig arcade game console press number game arcade std wap charge see onumber co uk game number term setting purchase,spam
1778,number wonder world numberth numberth style numberth smile numberth personality numberrd nature numbernd sm numberst lovely friendship good morning dear,ham
1779,loan purpose currencynumber currencynumber number homeowner tenant welcome previously refused still help call free number number text back help,spam
1780,big brother alert computer selected numberk cash number voucher call number ntt po box cronumber number bt landline cost numberppm mobile vary,spam
1781,oh well c later,ham
1782,uncle atlanta wish guy great semester,ham
1783,dear free message without recharge hi hi hi,ham
1784,search love let love find thats called falling love bcoz force fall know smeone hold bslvyl,ham
1785,dun believe thk told,ham
1786,know god created gap finger one made come amp fill gap holding hand love,ham
1787,yes sura sun tv lol,ham
1788,arun transfr amt,ham
1789,takin shower yeah leave done,ham
1790,working eye philosophy text later bit free chat,ham
1791,havent lost ill always b numberu didnt intend number hurt never knew felt iwas marine thats itriednumbertell urmom careabout,ham
1792,win winner mr foley ipod exciting prize soon keep eye mobile visit www win number co uk,spam
1793,bad girl still remember,ham
1794,much gave morning,ham
1795,hope alright babe worry might felt bit desparate learned job fake waiting come back love,ham
1796,hey tell blake address carlos wanted meet got lost answering phone,ham
1797,get opinion something first,ham
1798,one week leave put know time,ham
1799,hit move,ham
1800,excellent spent lt gt year air force iraq afghanistan stable honest like traveling,ham
1801,wanna watch movie,ham
1802,ok lor thanx school,ham
1803,class get text,ham
1804,bus leaf lt gt,ham
1805,god bless get good sleep dear pray,ham
1806,today voda number ending number selected receive currencynumberaward match please call number quoting claim code number standard rate app,spam
1807,nice day today love dearly,ham
1808,aiyo bit pai seh _ noe scared dun rem die hee become better lookin oredi leh,ham
1809,aight ask roommate,ham
1810,whats house beer,ham
1811,_ wan number meet n combine part da rest da project going,ham
1812,getting ticket number walsall tue number th march mate getting sat ill pay treat want number go txt bak terry,ham
1813,yes chatting,ham
1814,hi jess know work call home eve xxx,ham
1815,sian aft meeting supervisor got work number liao working,ham
1816,going write ccna exam week,ham
1817,well watch shrek numberd b,ham
1818,much dirty fellow,ham
1819,dunno dat wat told ok lor,ham
1820,probably tomorrow even later tonight something going,ham
1821,say dying man feel sad go wanted know would probably gone late night,ham
1822,thinking lifting one,ham
1823,dun wan dun like already ah wat still eating,ham
1824,sent email id soon,ham
1825,wat make people dearer de happiness dat feel meet de pain feel miss dem,ham
1826,dude teresa hope okay didnt hear people called received package since dec lt gt thot ld like know fantastic year best reading plus really really bam first aid usmle work done,ham
1827,hey gorgeous man work mobile number good one babe squishy mwahs,ham
1828,may call later pls,ham
1829,hottest pic straight phone see getting wet wanting xx text pic number txt cost numberp textoperator gnumberga number xxx,spam
1830,way stay oh,ham
1831,hello thanx taking call got job start monday,ham
1832,time flight tmr,ham
1833,come,ham
1834,rather prominent bite mark right cheek,ham
1835,september,ham
1836,wet right,ham
1837,husband,ham
1838,hack chat get backdoor entry number chat room fraction cost reply neonumber call number subscribe numberp pm dp bcm box number ldn wcnumbernnumberxx,spam
1839,norm tomorrow finish number co st test need sort library stuff point tomo got letter today access til end march better get move,ham
1840,yeah got list joanna feeling really anti social,ham
1841,office na,ham
1842,comingdown later,ham
1843,super da good replacement murali,ham
1844,da good good player unsold,ham
1845,hi want join sts later meeting five call class,ham
1846,engalnd telly decided let watch mia elliot kissing damn,ham
1847,free nokia motorola upto numbermths number numberprice linerental number free x net min numbertxt mth free b tooth call mobileupdnumber number call numberoptout dnumberwv,spam
1848,want hear philosophy say happen,ham
1849,got job wipro get every thing life number number year,ham
1850,cant get da laptop matric card wif _ lei,ham
1851,dunno da next show aft number number toa payoh got number,ham
1852,numbernd time tried number contact number pound prize number claim easy call number numberp per min bt national rate,spam
1853,made payment much sorry would want fedex way,ham
1854,play one day last year know even though good team like india,ham
1855,k girl waiting reception ah,ham
1856,say slowly god love amp need clean heart blood send ten special people amp c miracle tomorrow pls pls,ham
1857,hate turn fun shopping trip annoying day everything would look house,ham
1858,sir waiting call,ham
1859,want come online,ham
1860,could work reach consensus next meeting,ham
1861,aiyah wait lor entertain hee,ham
1862,last thing ever wanted hurt think would laugh embarassed delete tag keep going far knew even fact even felt like would hurt show really know messy wednesday bad problem time clean choose skype take picture sleep want go mind thing make bed throw laundry top friend house embarassed underwear bra strewn bed pillow floor something else used good least making bed,ham
1863,let know kick,ham
1864,call ok said call,ham
1865,call number available appointment ask connect call waheed fathima,ham
1866,_ go buy wif meet _ later,ham
1867,mmmm fuck fair know weakness grin push knee expose belly pull head forget know wicked smile,ham
1868,today system sh get ready well also deep well,ham
1869,mom want know,ham
1870,aight text back,ham
1871,know support as srt thnk think psnumber play usb,ham
1872,oh ok didnt know meant yep baby jontin,ham
1873,guaranteed currencynumber cash currencynumber prize claim yr prize call customer service representative,spam
1874,would like see xxx pic hot nearly banned uk,spam
1875,hmv bonus special number pound genuine hmv voucher answer number easy question play send hmv number info www numberpercent real com,spam
1876,watching tv got new job,ham
1877,pen thing beyond joke wont biro master ever,ham
1878,party alex nichols,ham
1879,secret admirer looking number make contact find r reveal think special call number,spam
1880,seeing missed call dear brother grnumber day,ham
1881,ok finishing soon,ham
1882,sorry help,ham
1883,come slave going shell unconsciously avoiding making unhappy,ham
1884,love as enjoy doggy style,ham
1885,think asking gym excuse lazy people jog,ham
1886,dear numberxxxxxxx invited xchat final attempt contact txt chat number numberp msgrcvdhg suitenumber numberlands row wnumberjnumberhl ldn numberyrs,spam
1887,urgent please call number landline abta complimentary number tenerife holiday currencynumber cash await collection sae c box number cwnumberwx numberppm,spam
1888,way home long dry spell season would,ham
1889,gotta collect da car number lei,ham
1890,ok knackered came home went sleep good full time work lark,ham
1891,probably earlier station think,ham
1892,call number listen extreme dirty live chat going office right total privacy one know sic listening numberp min number numbermp number,spam
1893,good morning plz call sir,ham
1894,freemsg hey got number video pic fones reply wild txt ill send pic hurry bored work xxx number numberp rcvd stopnumberstop,spam
1895,uh head much left,ham
1896,tot outside co darren say come shopping course nice wat jus went sim lim look mpnumber player,ham
1897,aight sound good want come,ham
1898,wat would like number birthday,ham
1899,love working home,ham
1900,miss vday parachute double coin must know well,ham
1901,sorry call later,ham
1902,sister got placed birla soft da,ham
1903,free entry number weekly comp chance win ipod txt pod number get entry std txt rate c apply number detail number,spam
1904,wah okie okie muz make use e unlimited haha,ham
1905,people mu table lambda,ham
1906,stop old man get build snowman snow angel snowball fight,ham
1907,ello babe ok,ham
1908,hello beautiful r ok kinda ad row wiv walked pub wanted night wiv miss,ham
1909,going ikea str aft dat,ham
1910,becoz lt gt jan whn al post ofice holiday cn go fr post ofice got duffer,ham
1911,lol grr mom taking forever prescription pharmacy like number minute away ugh,ham
1912,real tho suck even cook whole electricity hungry,ham
1913,want go,ham
1914,new textbuddy chat number horny guy area number numberp free number receive search postcode gaytextbuddy com txt one name number number rpl stop number cnl,spam
1915,time month mid time,ham
1916,fffff text kadeem far gone,ham
1917,leaving yet ok lor go elsewhere n eat thk,ham
1918,fujitsu series lifebook good,ham
1919,yar wanted number scold yest late already got zhong se qing ask bnumber ask go w lor n still act real,ham
1920,know bring food,ham
1921,current food alone also,ham
1922,sch fr number number dun haf da book sch home,ham
1923,hello going village pub number either come accordingly ok,ham
1924,ok,ham
1925,call like lt gt time oh give u hypertension oh,ham
1926,give monkey wot think certainly mind friend mine sleep wiv wud annoyin,ham
1927,omg could snow tonite,ham
1928,call number tell number call number claim currencynumber prize number enter mobile personal detail prompt careful,spam
1929,free numberst week entry number textpod number chance number win numbergb ipod currencynumber cash every wk txt vpod number t c www textpod net custcare number,spam
1930,carry disturbing,ham
1931,pa tell went bath,ham
1932,jus finished avatar nigro,ham
1933,r scratching,ham
1934,hope great day,ham
1935,either idea know anyplaces something,ham
1936,planning usually stop find hella weed,ham
1937,fact cleaning show know upset priority constantly want,ham
1938,excellent ready moan scream ecstasy,ham
1939,people dogging area call number join like minded guy arrange number number evening acurrencynumber minapn lsnumberbb,spam
1940,dude avatar numberd imp one point thought actually fly room almost tried hittng one reflex,ham
1941,well done number costa del sol holiday currencynumber await collection call number toclaim sae tc poboxnumber stockport sknumberxh costcurrencynumber pm maxnumbermins,spam
1942,k k cant come search job,ham
1943,got lousy sleep kept waking every number hour see cat wanted come worry cold,ham
1944,yeah leave couple minute amp let know get mu,ham
1945,_ call number number make sure dat woken,ham
1946,hey go jazz power yoga hip hop kb yogasana,ham
1947,battery mr adewale uncle aka egbon,ham
1948,cant pick phone right pls send message,ham
1949,wait number min stand bus stop,ham
1950,oh ic thought meant mary jane,ham
1951,haha really oh deduct lesson tmr,ham
1952,nah goin number wrks j wot bout,ham
1953,eat shit wait monkey face bitch asshole,ham
1954,good night going sleep,ham
1955,aight grab something eat text back mu,ham
1956,k k cant come search job,ham
1957,take something pain move however side next numberhrs see doctor,ham
1958,lol oh babe wont sliding place midnight thanks invite,ham
1959,howz person story,ham
1960,guess somebody know secretly fancy wanna find give u call number landline dateboxnumberessexcmnumberxn numberp min number,spam
1961,lol would awesome payback,ham
1962,number number free text message valid number december number,spam
1963,yes completely form clark also utter waste,ham
1964,honeybee said sweetest world god laughed amp said wait havnt met person reading msg moral even god crack joke gm gn ge gn,ham
1965,thanks tescos quite nice gone speak soon,ham
1966,feathery bowa something guy know,ham
1967,even cant close eye vava playing umma,ham
1968,number laptop noe infra slow lar wan fast one,ham
1969,guaranteed currencynumber award even currencynumber cashto claim award call free number number number stop getstop number php,spam
1970,nvm ok,ham
1971,enjoy life good night,ham
1972,yes meet town co go gep home could text bus stop worry finished march _ ish,ham
1973,askd question hour answer,ham
1974,thats cool cum,ham
1975,delhi chennai still silent,ham
1976,lol alright thinkin haha,ham
1977,reply win currencynumber weekly number fifa world cup held send stop number end service,spam
1978,boat still mom check yo half naked,ham
1979,shhhhh nobody supposed know,ham
1980,sorry call later,ham
1981,sorry call later meeting thing related trade please call arul lt gt,ham
1982,hey late amk need drink tea coffee,ham
1983,wnt buy bmw car urgently vry urgent hv shortage lt gt lac source arng dis amt lt gt lac thats prob,ham
1984,urgent please call number landline abta complimentary number tenerife holiday number cash await collection sae c box number cwnumberwx number ppm,spam
1985,length e e top shorter n got fringe thk going liao lazy dun wan number distract also,ham
1986,antha num corrct dane,ham
1987,call message missed call,ham
1988,sorry call later,ham
1989,basket gettin full might tonight,ham
1990,hi darlin ive got back really nice night thanks much lift see tomorrow xxx,ham
1991,valentine huh proof fb page ugh glad really watch rupaul show tool,ham
1992,free tone hope enjoyed new content text stop number unsubscribe help numberp provided tonesnumberyou co uk,spam
1993,eh den sat book e kb liao huh,ham
1994,practising curtsey,ham
1995,shall come get pickle,ham
1996,lol boo hoping laugh,ham
1997,yeh def upnumber something sat,ham
1998,well leave class babe never came back hope nice sleep love,ham
1999,lmao fish memory need,ham
2000,b going number sch mon si need number take smth,ham
2001,idea soon get converted live,ham
2002,themob yo yo yo come new selection hot downloads member get free click open next link sent fone,spam
2003,india going draw series many year south african soil,ham
2004,goodmorning today late lt decimal gt min,ham
2005,take major role community outreach rock mel,ham
2006,shopping lor raining mah hard number leave orchard,ham
2007,hi birth numberlb numberoz mother baby brilliantly,ham
2008,see forwarding message proof,ham
2009,keep going never intention run choose rather keep room clean say visitor maybe best choice yes wanted embarassed maybe feel feel friend want drop buy say happened morning tried everything know else,ham
2010,dunno lei thk mum lazy go neva ask yet,ham
2011,whatever want know rule talk earlier week start happening showing responsibility yet every week bend rule way way whatever tired thia argument every week lt gt movie doesnt inlude preview still getting number,ham
2012,beautiful truth gravity read carefully heart feel light someone feel heavy someone leaf goodmorning,ham
2013,great news call freefone number claim guaranteed currencynumber cash currencynumber gift speak live operator,spam
2014,ambrith madurai met arun dha marrge remembr,ham
2015,read shame tell take run blame number ever really number ever long time,ham
2016,princess kitty shaved natural,ham
2017,better bb wont use wife doctor,ham
2018,ya came ago,ham
2019,tomorrow onwards eve number number work,ham
2020,anything lor toa payoh got place number walk meh,ham
2021,anybody number still thought tactful way ask alex,ham
2022,win currencynumber music gift voucher every week starting txt word draw number tscs www ldew com skillgame numberwinaweek agenumberppermesssubscription,spam
2023,movie theatre go watch unlimited movie pay,ham
2024,lunch alone bored,ham
2025,yes obviously egg pert potato head _ speak soon,ham
2026,nah man car meant crammed full people,ham
2027,got new job bar airport satsgettin numberper hour mean lie keep touch,ham
2028,kallis ready bat numbernd inning,ham
2029,thanx birthday already,ham
2030,ugh apologize admit wrong ask take back,ham
2031,noe la wana pei bf oso rite k lor day den,ham
2032,yes small kid boost secret energy,ham
2033,gonna miss much,ham
2034,avatar supposed subtoitles,ham
2035,simply sitting watching match office,ham
2036,jot thing want remember later,ham
2037,oh sorry please,ham
2038,hey going lo lesson gym,ham
2039,pack buy store like cereal must pack food pack gari something numberja miss,ham
2040,always make thing bigger,ham
2041,dun wan watch infernal affair,ham
2042,waking number afternoon sup,ham
2043,numbermths half price orange line rental latest camera phone number free phone numbermths call mobilesdirect free number update ornumberstoptxt,spam
2044,send pic like,ham
2045,okay booked already including one bugis,ham
2046,aight fuck get later,ham
2047,de call time ill tell k,ham
2048,use hook,ham
2049,much blackberry boldnumber nigeria,ham
2050,hi home calicut,ham
2051,hey darlin pick college tell wen number mt love pete xx,ham
2052,call number use min call cast numberp min mob vary service provided aom gbpnumber month aom boxnumber mnumber numberer stop age number,spam
2053,oh thkin goin yogasana number den nd go number den rush parco number nb okie lor call ready,ham
2054,late need go n get da laptop,ham
2055,sir waiting mail,ham
2056,please charge mobile get morning,ham
2057,nothing got msg frm tht unknown,ham
2058,ugh fuck resubbing eve,ham
2059,see shadow get early spring yay,ham
2060,one slice one breadstick lol,ham
2061,hey want crave miss need love ahmad saeed al hallaq,ham
2062,training tomorrow,ham
2063,urgent mobile currencynumber number bonus caller prize number number number numbernd attempt reach call number asap boxnumbernnumberqp numberppm,spam
2064,pas dis contact n see wat get red luv wid blue put smile face purple r realy hot pink r swt orange thnk lyk green realy wana go wid yelow wnt bck black jealous brown miss nw plz giv one color,ham
2065,co daddy arranging time c wat time fetch _ mah,ham
2066,eldest know,ham
2067,say hi drugdealer,ham
2068,hard believe thing like say lie think twice saying anything,ham
2069,eerie nokia tone numberu rply tone title number eg tone dracula number title ghost addamsfa munsters exorcist twilight www getzed co uk poboxnumberwnumberwq numberp,spam
2070,sexy single waiting text age followed gender wither f e g numberf gay men text age followed g e g numberg,spam
2071,good night dear sleepwell amp take care,ham
2072,wondarfull song,ham
2073,freemsg claim number sm message text ok number use webnumbermobile number mate etc join txtnumber com numberp wk c boxnumber lanumberwu number remove txtx stop,spam
2074,yar lor actually quite fast co da ge slow wat haha,ham
2075,must come later normally bathe da afternoon mah,ham
2076,trust even,ham
2077,hey hun onbus goin number meet want numbergo numbera meal donyt feel like cuz number get last bus home he sweet latelyxxx,ham
2078,number free ringtone reply real,spam
2079,take like noon,ham
2080,opening mca,ham
2081,aight wat happening side,ham
2082,done oredi,ham
2083,sweet well princess please tell like dislike bed,ham
2084,wish great semester,ham
2085,moji love word rich day,ham
2086,dude like buff wind,ham
2087,alright babe,ham
2088,well done england get official poly ringtone colour flag yer mobile text tone flag number opt txt eng stop boxnumber wnumberwx currencynumber,spam
2089,give everything want need actually could better yor got money get work get man pay rent even fill fucking gas tank yes stressed depressed even call home thanksgiving cuz tell nothing,ham
2090,kallis wont play first two odi,ham
2091,get cash together text jason,ham
2092,oh love soooo good hear omg missed much today sorry problem provider thank tming,ham
2093,final chance claim currencynumber worth discount voucher today text yes number savamob member offer mobile c savamob poboxnumber mnumberuz currencynumber sub number,spam
2094,private number account statement number show number unredeemed bonus point claim call number identifier code number expires,spam
2095,probably want pick,ham
2096,done,ham
2097,cutest girl world,ham
2098,dice art class number thru number thanks though idea time come tomorrow,ham
2099,sm service inclusive text credit pls goto www comuk net login unsubscribe stop extra charge help number po boxnumber ipnumber numberwe,spam
2100,oh howda gud gud mathe en samachara chikku,ham
2101,thk number lor dunno get ticket wat,ham
2102,audrie lousy autocorrect,ham
2103,site simulate test give tough question test readiness,ham
2104,anyway seriously hit back otherwise light armand always shit vomiting,ham
2105,fetch yun fetch,ham
2106,thank like well,ham
2107,hmmm imagine come home rub foot make dinner help get ready date sure ready kind life,ham
2108,freenumberday sexy st george day pic jordan txt pic number miss every wk saucy celeb number pic c pocketbabe co uk number currencynumber wk,spam
2109,lara said loan lt gt,ham
2110,spare power supply,ham
2111,yar quite clever aft many guess lor got ask number bring thk darren willing number go aiya thk leona still attach wat,ham
